id,first_name,last_name,email,gender,artist_ids,friends
1,Urbanus,Papez,upapez0@1688.com,Male,"[{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
2,Preston,Ianizzi,pianizzi1@seattletimes.com,Male,"[{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
3,Merrili,Addie,maddie2@bandcamp.com,Female,"[{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
4,Marchelle,Insull,minsull3@list-manage.com,Female,"[{},{},{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
5,Faina,Kilrow,fkilrow4@yale.edu,Female,"[{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
6,Mallory,Stanyforth,mstanyforth5@skyrock.com,Polygender,"[{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
7,Patton,Portinari,pportinari6@flickr.com,Male,"[{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
8,Dani,Leebeter,dleebeter7@timesonline.co.uk,Female,"[{},{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
9,Elianora,Ebbs,eebbs8@china.com.cn,Genderqueer,"[{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
10,Guillermo,Dyos,gdyos9@deliciousdays.com,Agender,"[{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
11,Dorri,Geleman,dgelemana@alexa.com,Female,"[{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
12,Etta,Leyman,eleymanb@163.com,Female,"[{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
13,Weidar,Bagster,wbagsterc@sakura.ne.jp,Male,"[{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
14,Madelina,Turner,mturnerd@tmall.com,Female,"[{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
15,Martguerita,MacCauley,mmaccauleye@businesswire.com,Female,"[{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
16,Nollie,Dartan,ndartanf@ebay.co.uk,Female,"[{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
17,Auria,Flohard,aflohardg@amazon.com,Female,"[{},{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
18,Corliss,Ridler,cridlerh@psu.edu,Female,"[{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
19,Jo,Denyukhin,jdenyukhini@moonfruit.com,Female,"[{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
20,Oran,Sweeting,osweetingj@dion.ne.jp,Male,"[{},{},{},{},{},{},{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
21,Fletch,Treven,ftrevenk@ameblo.jp,Male,"[{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
22,Haven,Probin,hprobinl@redcross.org,Male,"[{},{},{}]","[{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}]"
