id,first_name,last_name,email,gender,artist_ids,friends
1,Urbanus,Papez,upapez0@1688.com,Male,"[1965, 1476, 795]","[28, 38, 126, 170, 121]"
2,Preston,Ianizzi,pianizzi1@seattletimes.com,Male,"[134, 1436, 1186, 1349]","[82, 37, 173, 134, 79, 53, 11, 22, 93, 155, 147, 72, 146]"
3,Merrili,Addie,maddie2@bandcamp.com,Female,"[518, 988, 808, 1112, 660, 775]","[95, 17, 21, 179, 79, 127, 110, 131, 20, 6, 78, 54]"
4,Marchelle,Insull,minsull3@list-manage.com,Female,"[1945, 469, 1715, 1818]","[84, 98, 109, 7, 80, 151, 106, 76, 69, 50, 124, 73, 170, 108, 118]"
5,Faina,Kilrow,fkilrow4@yale.edu,Female,"[1898, 1059, 283, 1086, 1957]","[130, 26, 66, 55, 148, 177]"
6,Mallory,Stanyforth,mstanyforth5@skyrock.com,Polygender,"[596, 1673, 191, 153, 1266]","[134, 150, 157, 121, 23, 55, 80, 138, 34, 8, 91, 74]"
7,Patton,Portinari,pportinari6@flickr.com,Male,"[1455, 1982, 691, 358, 181]","[151, 16, 61, 70, 165]"
8,Dani,Leebeter,dleebeter7@timesonline.co.uk,Female,"[292, 768, 1004, 34]","[69, 163, 35, 13, 89, 94, 178, 179, 141, 42]"
9,Elianora,Ebbs,eebbs8@china.com.cn,Genderqueer,"[621, 696, 1551, 943, 590]","[37, 12, 168, 174, 117, 39, 106, 164, 115, 82, 105, 148]"
10,Guillermo,Dyos,gdyos9@deliciousdays.com,Agender,"[958, 1768]","[33, 1, 105, 85, 65, 143, 172, 141]"
11,Dorri,Geleman,dgelemana@alexa.com,Female,"[2023, 1990, 1044, 1535, 444]","[5, 55, 33, 89, 118, 19, 7]"
12,Etta,Leyman,eleymanb@163.com,Female,"[68, 1378, 1886, 899, 395, 886]","[68, 14, 152, 25, 167, 118, 160, 4, 165, 47, 63]"
13,Weidar,Bagster,wbagsterc@sakura.ne.jp,Male,"[710, 1936]","[32, 170, 175, 95, 41, 172, 157, 7]"
